name,sector,year_founded,label_date,website,description,founders,email
Décotis,Real Estate Tech,2021,11/2021,http://www.decotis.tn,"Une solution de mise en connexion entre clients finaux, décorateurs d'intérieur et commerces de mobiliers et d'articles de décoration à travers une marketplace. La solution offre aussi aux décorateurs d'intérieur un outil de gestion de projet (calendrier, taches d'exécution, etc..°","Meher Hedhli, Mohamed Barki",n.a.
STARK,Business Software and services,2019,06/2020,https://stark-erp.com/,Un ERP Multi-devices en deux versions : OnPremise et SAAS destiné au marché local et au marché Africain. Fort de ses modules Paie et Comptabilité.,Mohamed Mzid,n.a.
KLAY,Wellness,2020,09/2020,,"Sportology est spécialisée dans la conception, industrialisation, fabrication, commercialisation et installation des machines de sport intelligentes.","Mohamed Hedi Ben Hamed, Moez Aousji",n.a.
Etakwin,EdTech,2020,09/2020,http://etakwin.com,Etakwin est un système de gestion d'apprentissage- formation en ligne LMS et Visioconférence destiné aux entreprises et centres de formations.,"Sawsan Bellaj, Moez Bouhlel, Mhammed Bellaj",n.a.
Animadop,Communication services,2020,11/2020,https://animadop.tn/,Animadop est une plateforme sociale autour des animaux de compagnie en Tunisie qui regroupe les passionnés et les professionnels des animaux tunisiens,"khalil ben said, Fatma Essafi",n.a.
Lamma,Mobility,2020,06/2020,http://www.lamma.city,Lamma est l'agrégateur de mobilités et la plateforme multiservices à la demande et technologie de paiement numérique.,"Reda Mansouri, Aymen Koussi, Yassir el Ismaili Idrissi",aymen@appetito.com
VME Internationale,Business Software and services,2019,01/2020,http://www.syndic.digital ,"Notre objectif est de mettre le digital au service du bien être collectif.                              VME Internationale est une plateforme (web et mobile) de ""Gestion des syndics de copropriétés"" pour mettre le digital au service du bien être collectif.","Foued Ben Babis, Montassar Gharssa",n.a.
Avempace,Consumer products and services,2015,08/2019,http://www.avempace-wireless.com,"Grâce à son expertise pointue en IoT et sa technologie innovante ViziaLive, Avempace se positionne comme leader des technologies embarquées pour la communication en temps réel.","Haythem Boughzala, Abdelhamid Kerkeni",n.a.
DATAERA,Business Software and services,2018,06/2019,https://www.data-era.co,"Accompagner les entreprises dans la maîtrise, l’analyse et la visualisation de leurs données. Les aider à valoriser leur capital informationnel pour accroître leurs revenus et la performance globale à l’aide des nouvelles technologies de Big Data et Data Analytics.","Hedi Zouari, Maher HENI",n.a.
BUS SOFTWARE,Consumer products and services,2018,05/2019,https://www.winicari.tn/,Bus Software offre un nouveau dispositif de perception sur le transport public avec un SAEIV (Systèmes d’Aide à l’Exploitation et d’Information des Voyageurs).,"Amor Sahnoun, Makrem Erguez",n.a.
IMPACT NUTRITION,FoodTech & New Food,2016,03/2021,https://www.impactnutrition.com.tn,"Impact Sport Nutrition se spécialise dans la conception, fabrication et commercialisation de compléments alimentaires de nutrition sportive pour personnes actives.","Marouan Ariane, Houda Saied",n.a.
MedCREtech,Fintech,2018,05/2019,https://www.medcretech.com/,MedCretech propose une application Blockchain pour tracer et fluidifier le cycle de vie des biens immobiliers.,Nacef Bouzguenda,n.a.
Examido,EdTech,2020,08/2020,https://www.examido.com,"Examido est une plateforme éducative interactive permettant aux enseignants d'évaluer leurs étudiants en temps-réel et assure le contact entre eux par la communication, l'échange et le partage.",Hajer El Hedi,n.a.
Autoprix.tn,Commerce and shopping,2020,12/2020,http://www.autoprix.tn,"Autoprix.tn est un comparateur, estimateur de cote voiture occasion et dashboard d'analyse du marché automobile. Inspection, accompagnement et vente de voiture occasion.","Tarek Ben Sassi, Mohamed Amine Ben Sassi",n.a.
La relation client à l’ère du digital,Business Software and services,2020,04/2020,http://www.gomybiz.co,Go Mybiz offre une suite de logiciels de gestion de la relation clients qui permettent aux TPE/PME de digitaliser leur « parcours client » de bout en bout et en omnicanal.,"Mohamed Achraf Gabsi, Yassine Touati, Sofiene Djait, Mehdi Touati",info@gomybiz.co
InstaDeep,Business Software and services,2014,06/2019,https://www.instadeep.com,InstaDeep propose des solutions IA pour l'entreprise et des produits IA d'aide à la décision pour plusieurs secteurs tels que la logistique et la mobilité.,"Karim Beguir, Zohra Slim",n.a.
Alfikr ,EdTech,2020,02/2021,http://www.justpublish.net/,JustPublish est une société spécialisée dans l’édition numérique ayant pour but de promouvoir la production scientifique,Brahim Jrah,n.a.
KWIN.,Consumer products and services,2020,10/2020,,"KWIN offre une setup box intelligente qui permettra aux utilisateurs de la télé d'accéder à un univers de divertissement, de travail et de gaming.","Sahli Houssem, Sonia Othman",n.a.
iCan-C,HealthTech,2021,03/2021,#,iCan-C est une smart cane qui détecte les éventuels obstacles aux alentours d'un malvoyants et les traduit en informations concevable par le malvoyant ou l'aveugle.,"Ali Ajili, Yosr Jazzar, Fatnassi Hilmi",n.a.
SENIATNA,FoodTech & New Food,2019,06/2019,http://www.seniatna.com,Seniatna est une marque engagée de produits agroalimentaires aidant les ménages tunisiens à retrouver le goût authentique grâce à la collaboration avec des producteurs indépendants.,Neil Boussofara,n.a.
TechAbility,Consumer products and services,2019,05/2019,https://www.techability.tn/,TechAbility propose une solution de monitoring de l'énergie basée sur l'intelligence artificielle qui permettra aux clients de faire des économies sur leurs factures d'électricité.,"Dorra Kammoun, Oussama Romdhane",n.a.
BioIntrants Technologie,Agritech,2018,06/2019,https://www.switchmed.eu,BioIntrants Technologie est une Unité de production industrielle d’intrants destinés à l’agriculture conventionnelle et biologique qui s’imprègne d'une politique de fertilisation raisonnée plus respectueuse de la nature et des hommes.,"Yassine Ben Menadi, Chedly Ben Menadi",n.a.
Dataperformers,Business Software and services,2019,09/2019,http://www.dataperformers.com,Dataperformers est une entreprise d’intelligence artificielle appliquée ayant comme spécialité l’analyse prédictive et la vision numérique (computer vision).,Mehdi Merai,n.a.
Be Wireless Solutions,Consumer products and services,2016,04/2019,,BWS est industriel et opérateur IoT offrant des solutions intégrées de monitoring des objets en temps réel pour l'optimisation énergétique.,"Karim Kharrat, Nizar Ghram, Sofiene Ghram",n.a.
Think-it,Business Software and services,2017,05/2020,https://think-it.io/,Notre collectif élabore des solutions IA et Cloud pour aider les leaders de l'innovation à obtenir des résultats de haute qualité à moindre coût.,"Mehemed Bougsea, Josha Raue",n.a.
School Upgrader,EdTech,2020,09/2020,https://schoolupgrader.com/,"School Upgrader offre une solution de E-learning (LMS & Classe en direct) pour toute organisation éducative, avec une tarification mensuelle et la possibilité de développement personnalisé.","Khalil Ben Zineb, Oussama Ben Zineb",n.a.
Barbecha,Commerce and shopping,2020,10/2020,https://barbecha.shop/,"Barbecha est une plateforme en ligne qui permet aux jeunes femmes et hommes de faire du shopping éco-responsable à travers l’achat de vêtements et accessoires de seconde main, recyclés ou/et personnalisés.","Ines Soyah, Zeineb Bouassida, Chiheb Karoui",n.a.
DABCHY,Commerce and shopping,2016,04/2019,https://www.dabchy.com/,Dabchy.com est une marketplace de mode qui permet aux femmes de renouveler leurs gardes-robes en ligne et en toute sécurité.,"Ghazi Ketata, Ameni Mansouri, Oussama Mahjoub",n.a.
AYSHEK,Commerce and shopping,2019,09/2019,https://www.ayshek.com,"AYSHEK est un site e-commerce de vente de produits tunisiens alimentaires, artisanaux et de terroir dans le monde entier.",Mohamed Amine Baatout,n.a.
EZZAYRA SOLUTIONS,Agritech,2015,04/2019,http://www.ezzayra.com/,"Développement et intégration de produits technologiques destinés a l'agriculture. Software, Hardware et Robotique.",Yasser Bououd,n.a.
study.tn,EdTech,2018,05/2019,https://www.study.tn/,Study.tn is a Tunisian e-learning platform that brings the best to teach the masses through high-quality video-based courses.,"Nidhal Abidi, Nadhir Abidi, Mohamed Salim Hadrich, Saif Hamdawi",n.a.
iCompass,Business Software and services,2019,09/2019,https://www.icompass.tn/,ICOMPASS mesure l'opinion perçue sur le digital : Rapports en temps réel fourni par un modèle DeepLearning. Le modèle comprend les dialectes arabes et africains.,"Ahmed Nouisser, Mohamed Hatem Haddad",n.a.
Autoshop.tn,Commerce and shopping,2020,09/2020,http://www.etl-technology.com,C'est une plateforme de vente en ligne de pièces de rechanges automobile avec identification exacte des pièces soit par immatriculation ou par numéro de châssis.,"Bassem Ben Jmeaa, Mohamed Ali Ellouze, Achraf Guidara",n.a.
Class Quiz,EdTech,2020,09/2020,https://www.classquiz.tn/,"ClassQuiz est une plateforme éducative qui offre un contenu pédagogique, digital et interactif de qualité pour l'éducation primaire.","Sabrine IBRAHIM, Sabrine IBRAHIM",sabrine.ibrahim@envast.tn
Taysir Solutions Tunisia,Business Software and services,2015,05/2019,https://www.taysirsolutions.com/,"Taysir Solutions Tunisia, fournisseur de plateforme pour les agences de voyage à travers le monde. On a trois logiciels qui sont utilisés pour la gestion des visas, gestion de billetterie et réservation d'hôtel.","Fakhreddine Hachfi, Mohamed Belghith",n.a.
MTCE,Business Software and services,2020,12/2020,http://www.certely.com,Certely Expert System est une solution de digitalisation de l’implémentation de normes internationales afin d’apporter un processus de certification plus optimisé pour les entreprises.,"Fares Amor, Dhafer Ben Amor, Nidhal Ben Amor",n.a.
BYEISSA,Commerce and shopping,2020,03/2021,https://byeissa.com/,"Une marketplace pour la vente de pièces de rechange, un référencement des artisans automobiles et un forum d’expertise.","Ahmed ELMI, Mohamed Jbalia, Souhaib Rejeb, wajdi tayachi",n.a.
